Name,TLR,RPC,GO,OI,Perception,State
Saveetha Institute of Medical and Technical Sciences,82.14,86.91,75.92,71.41,87.96,Tamil Nadu
"Manipal College of Dental Sciences, Manipal",78.68,61.39,84.2,75.84,95.88,Karnataka
Maulana Azad Institute of Dental Sciences,77.45,54.92,90.92,64.95,100,Delhi
King George`s Medical University,93.71,54.47,81.59,60.73,55.22,Uttar Pradesh
Dr. D. Y. Patil Vidyapeeth,75.77,57.78,84.21,59.85,93.66,Maharashtra
A.B.Shetty Memorial Institute of Dental Sciences,77.16,39.7,90.45,74.03,95.88,Karnataka
SRM Dental College,78.65,44.05,90.92,65.86,75.9,Tamil Nadu
Jamia Millia Islamia,75.23,44.99,63.13,79.71,77.05,Delhi
Siksha `O` Anusandhan,76.89,28.52,78.02,69.03,91.31,Odisha
Sri Ramachandra Institute of Higher Education and Research,76.83,31.55,84.32,60.71,69.63,Tamil Nadu
"Manipal College of Dental Sciences, Mangalore",73.3,32.32,80.35,68.42,74.72,Karnataka
JSS Dental College and Hospital,67.65,33.03,79.45,66.65,78.17,Karnataka
Meenakshi Academy of Higher Education and Research,73.35,38.47,75.95,70.44,33.01,Tamil Nadu
Amrita Vishwa Vidyapeetham,67.35,26.82,84.01,73.83,65.36,Tamil Nadu
"Govt. Dental College, Nagpur",73.78,30.91,85.25,58.67,41.79,Maharashtra
M.S. Ramaiah University of Applied Sciences,72.35,23.81,83.33,59.31,65.36,Karnataka
Banaras Hindu University,67.96,34.5,72.37,47.67,57.09,Uttar Pradesh
Aligarh Muslim University,74.72,19.95,80.3,57.6,51.21,Uttar Pradesh
"Government Dental College, Bangalore",70.23,13.63,77.69,57.17,85.26,Karnataka
Dr. M. G. R. Educational and Research Institute,70.84,19.22,79.02,70.17,46.76,Tamil Nadu
Government Dental College,75.25,5.96,86.63,56.84,65.36,Kerala
Kalinga Institute of Industrial Technology,74.57,21.48,73.18,68.34,36.15,Odisha
Postgraduate Institute of Dental Sciences,72.85,33.84,74.85,55.58,12.36,Haryana
Datta Meghe Institute of Higher Education and Research,72.78,29.32,74.4,63.91,17.38,Maharashtra
"Govt. Dental College, Mumbai",71.17,16.93,75.45,57.97,62.24,Maharashtra
Yenepoya Dental College,75.72,13.49,72.58,71.32,49.04,Karnataka
Panjab University,64.69,19.3,75.71,69.39,57.09,Chandigarh
Nair Hospital Dental College,79.53,16.72,79.98,58.49,21.88,Maharashtra
KLE Vishwanath Katti Institute of Dental Sciences,69.39,16.18,72.19,70.17,57.09,Karnataka
Christian Dental College,70.48,7.27,87.71,61.45,57.09,Punjab
SDM College of Dental Sciences & Hospital,72.02,13.48,73.83,60.31,62.24,Karnataka
SRM Kattankulathur Dental College,70.62,16.43,70.11,59.3,60.6,Tamil Nadu
Chettinad Dental College and Research Institute,74.7,14.01,69.33,63.27,49.04,Tamil Nadu
Government Dental College,66.08,14.97,85.62,57.27,44.35,Gujarat
Mahatma Gandhi P.G. Institute of Dental Sciences,80.65,5.67,83.51,54.88,33.01,Pondicherry
"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",75.26,5.39,78.4,60.56,51.21,Maharashtra
Bapuji Dental College & Hospital,68.85,21.41,63.82,54.98,55.22,Karnataka
Manav Rachna International Institute of Research and Studies,64.84,9.32,70.27,72.03,63.83,Haryana
"Adhiparasakthi Dental College and Hospital, Kancheepuram",68.51,9.78,76.9,61.29,44.35,Tamil Nadu
Army College of Dental Sciences,69.25,7.02,73.75,68.46,49.04,Telangana
